index original,text H-ID,witness H-ID,document H-ID,ToCheck,Shelfmark,TRI,textAuthor-freetext,workTitle-freetext,textTitle-freetext,Form,siglum,witness_label,status,Settlement,repository,collection,idno,volume,range_pages,range_views,Digitisation,note,Scripta,Scripta_freetext,Scripta_source,Century,Date,date-freetext,Date-source,jonas_id,arlima_id,Remarques,arlima_ident,arlima_page,arlima_subentry,arlima_ms_reference
0,707,,,,"CAMBRIDGE, University Library, Addit. 3303/1 ",Agolant,,,Agolant,verse,,,fragment,Cambridge,University Library,Addit.,3303/1,,,,,,,,,,1281-1300,fin 13e s.,Jonas,http://jonas.irht.cnrs.fr/manuscrit/72701,https://arlima.net/no/8366,,,,,
1,585,,45209,TRUE,"Gent, Universiteitsbibliotheek, 1597",Aigar et Maurin,,Aigar et Maurin,Aigar et Maurin,verse,,,fragment,Gent,Universiteitsbibliotheek,,1597,,NP,1-5,https://libstore.ugent.be/fulltxt/RUG01/000/993/934/BHSL-HS-1597_2009_0001_AC.pdf,"devenu Louvain, Bibliothèque de l'Université, G. 288 ?",,"France, peut-être Poitou",Arlima,13e-14e,1281-1320,"fin 13e ou début du 14e s. (Derolez, 2017)",Jonas,http://jonas.irht.cnrs.fr/manuscrit/21964,https://arlima.net/no/12110,,,,3310,Aigar et Maurin
2,585,,46141,TRUE,"Leuven, Bibliothèque universitaire, 288",Aigar et Maurin,,Aigar et Maurin,Aigar et Maurin,verse,,,fragment,Leuven,Bibliothèque universitaire,,288,,,,,Fragment de la bibliothèqe d'Herenthals (2 ff. recto et verso). Deletus,,,,,1241-1400,Mid 13th c. (catalogue) ou 14e (Arca),,http://jonas.irht.cnrs.fr/manuscrit/71711,,,,,,
3,764,,45339,FALSE,"Oxford, Bodleian Library, Broxbourne 34.5 (1)",Aimeri de Narbonne,,,Aimeri de Narbonne,verse,Ax?,,fragment,Oxford,Bodleian Library,Broxbourne,34.5 (1),,,,NON NUMÉRISÉ,,,,,,1281-1300,Fin du XIIIe siècle,Allen,http://jonas.irht.cnrs.fr/manuscrit/74233,,,,,677,Aimeri de Narbonne
4,764,,45877,FALSE,"Paris, Bibliothèque nationale de France, français 24369",Aimeri de Narbonne,,Aimeri de Narbonne,Aimeri de Narbonne,verse,B2,B2,,Paris,Bibliothèque nationale de France,français,24369,"24369-24270, t. 1",1-27r,9-61,https://gallica.bnf.fr/ark:/12148/btv1b60005272,,,France,Mandragore,,1301-1320,Début du XIVe siècle,Allen,http://jonas.irht.cnrs.fr/manuscrit/45910,https://arlima.net/no/2437,,,,677,Aimeri de Narbonne
10,47641,,45841,FALSE,"Paris, Bibliothèque nationale de France, français 1497",Guillaume d'Orange,,Guillaume d'Orange,"prose: Guillaume d'Orange, 1401-1500",prose,A,A,,Paris,Bibliothèque nationale de France,français,1497,,1r-32r,4-35,https://gallica.bnf.fr/ark:/12148/btv1b90600941,,,,,,1461-1470,Vers 1465,Allen,http://jonas.irht.cnrs.fr/manuscrit/72902,,,,,677,Aimeri de Narbonne
11,47641,,45742,FALSE,"Paris, Bibliothèque nationale de France, français 796",Guillaume d'Orange,,Guillaume d'Orange,"prose: Guillaume d'Orange, 1401-1500",prose,B,B,,Paris,Bibliothèque nationale de France,français,796,,1r-361r,4-375,https://gallica.bnf.fr/ark:/12148/btv1b9058183s,,,La Marche et Tours (Jonas),,,1462-1471,vers 1466,Jonas,http://jonas.irht.cnrs.fr/manuscrit/72901,https://arlima.net/no/2825,,,,677,Aimeri de Narbonne
17,764,,45587,FALSE,"London, British Library, Harley 1321",Aimeri de Narbonne,,Aimeri de Narbonne,,verse,A2,A2,,London,British Library,Harley,1321,,38v,38v,https://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_1321,,,,,,1241-1260,milieu 13e,Jonas,http://jonas.irht.cnrs.fr/manuscrit/30638,https://arlima.net/no/4661,,,,677,Aimeri de Narbonne
18,764,,45600,FALSE,"London, British Library, Royal 20.B.XIX",Aimeri de Narbonne,,Aimeri de Narbonne,,verse,A1,A1,,London,British Library,Royal,20. B. XIX,,39v,,NON NUMÉRISÉ,,,,,,1281-1300,Fin du XIIIe siècle,Allen,http://jonas.irht.cnrs.fr/manuscrit/31250,https://arlima.net/no/4660,,,,677,Aimeri de Narbonne
19,764,,45613,FALSE,"London, British Library, Royal 20.D.XI",Aimeri de Narbonne,,Aimeri de Narbonne,,verse,B1,B1,,London,British Library,Royal,20. D. XI,,62vc,,NON NUMÉRISÉ,,,France,,,1301-1350,Première moitié du XIVe siècle,Allen,http://jonas.irht.cnrs.fr/manuscrit/31259,https://arlima.net/no/3776,,,,677,Aimeri de Narbonne
