text H-ID,preferred_name,language,literary_form,specific_genre Record Title,date_of_creation,is_written_by (Person) Record Title,described_at_URL,doc H-ID,Shelfmark,siglum,status,Settlement,repository,collection,idno,Date,jonas_id,arlima_id
513,Audigier,fro (Old French),verse,chanson de geste,1180 to 1220,,https://arlima.net/no/28,45721,"Paris, Bibliothèque nationale de France, français 19152",,,Paris,Bibliothèque nationale de France,français,19152,1301-1320,http://jonas.irht.cnrs.fr/manuscrit/45865,https://arlima.net/no/504
524,Chetifs,fro (Old French),verse,chanson de geste,1181 to 1220,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/5034|http://jonas.irht.cnrs.fr/oeuvre/4185,45566,"London, British Library, Additional 36615",,,London,British Library,Additional,36615,1296-1350,http://jonas.irht.cnrs.fr/manuscrit/30095,https://arlima.net/no/9266
524,Chetifs,fro (Old French),verse,chanson de geste,1181 to 1220,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/5034|http://jonas.irht.cnrs.fr/oeuvre/4185,45368,"Oxford, Bodleian Library, Hatton 77",,,Oxford,Bodleian Library,Hatton,77,1241-1260,http://jonas.irht.cnrs.fr/manuscrit/40304,https://arlima.net/no/8684
524,Chetifs,fro (Old French),verse,chanson de geste,1181 to 1220,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/5034|http://jonas.irht.cnrs.fr/oeuvre/4185,45678,"Paris, Bibliothèque nationale de France, Arsenal 3139",,,Paris,Bibliothèque nationale de France,Arsenal,3139,1268,http://jonas.irht.cnrs.fr/manuscrit/42940,https://arlima.net/no/9275
524,Chetifs,fro (Old French),verse,chanson de geste,1181 to 1220,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/5034|http://jonas.irht.cnrs.fr/oeuvre/4185,45921,"Paris, Bibliothèque nationale de France, français 12569",,,Paris,Bibliothèque nationale de France,français,12569,1276-1285,http://jonas.irht.cnrs.fr/manuscrit/45801,https://arlima.net/no/4597
524,Chetifs,fro (Old French),verse,chanson de geste,1181 to 1220,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/5034|http://jonas.irht.cnrs.fr/oeuvre/4185,45762,"Paris, Bibliothèque nationale de France, français 1621",,,Paris,Bibliothèque nationale de France,français,1621,1246-1255,http://jonas.irht.cnrs.fr/manuscrit/45635,https://arlima.net/no/6706
524,Chetifs,fro (Old French),verse,chanson de geste,1181 to 1220,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/5034|http://jonas.irht.cnrs.fr/oeuvre/4185,46041,"Paris, Bibliothèque nationale de France, français 786",,,Paris,Bibliothèque nationale de France,français,786,1268-1290,http://jonas.irht.cnrs.fr/manuscrit/45553,
524,Chetifs,fro (Old French),verse,chanson de geste,1181 to 1220,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/5034|http://jonas.irht.cnrs.fr/oeuvre/4185,49966,"Spikkestad, Collection particulière Schoyen, 1275 / OR:  London,  Christie's,  Vente de juillet 2019 (coll. Schoyen), lot 459 ",,fragment,Spikkestad,Collection particulière Schoyen,,1275,,http://jonas.irht.cnrs.fr/manuscrit/73202,
535,Conquete de Jerusalem,fro (Old French),verse,chanson de geste,1181 to 1200,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/300|http://jonas.irht.cnrs.fr/oeuvre/12848,45625,"Bern, Burgerbibliothek, 320",F,mutilated,Bern,Burgerbibliothek,,320,1251-1300,http://jonas.irht.cnrs.fr/manuscrit/8178,https://arlima.net/no/11912
535,Conquete de Jerusalem,fro (Old French),verse,chanson de geste,1181 to 1200,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/300|http://jonas.irht.cnrs.fr/oeuvre/12848,45566,"London, British Library, Additional 36615",I,,London,British Library,Additional,36615,1296-1350,http://jonas.irht.cnrs.fr/manuscrit/30095,https://arlima.net/no/9266
535,Conquete de Jerusalem,fro (Old French),verse,chanson de geste,1181 to 1200,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/300|http://jonas.irht.cnrs.fr/oeuvre/12848,45608,"London, British Library, Royal 15.E.VI",H,fragment,London,British Library,Royal,15. E. VI,1444-1445,http://jonas.irht.cnrs.fr/manuscrit/31188,https://arlima.net/no/482
535,Conquete de Jerusalem,fro (Old French),verse,chanson de geste,1181 to 1200,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/300|http://jonas.irht.cnrs.fr/oeuvre/12848,45346,"Oxford, Bodleian Library, Douce 381",N,fragment,Oxford,Bodleian Library,Douce,381,1276-1305,http://jonas.irht.cnrs.fr/manuscrit/40279,https://arlima.net/no/9051
535,Conquete de Jerusalem,fro (Old French),verse,chanson de geste,1181 to 1200,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/300|http://jonas.irht.cnrs.fr/oeuvre/12848,45678,"Paris, Bibliothèque nationale de France, Arsenal 3139",G,,Paris,Bibliothèque nationale de France,Arsenal,3139,1268,http://jonas.irht.cnrs.fr/manuscrit/42940,https://arlima.net/no/9275
535,Conquete de Jerusalem,fro (Old French),verse,chanson de geste,1181 to 1200,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/300|http://jonas.irht.cnrs.fr/oeuvre/12848,46048,"Paris, Bibliothèque nationale de France, français 12558",A,,Paris,Bibliothèque nationale de France,français,12558,1241-1320,http://jonas.irht.cnrs.fr/manuscrit/45798,https://arlima.net/no/5302
535,Conquete de Jerusalem,fro (Old French),verse,chanson de geste,1181 to 1200,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/300|http://jonas.irht.cnrs.fr/oeuvre/12848,45921,"Paris, Bibliothèque nationale de France, français 12569",E,,Paris,Bibliothèque nationale de France,français,12569,1276-1285,http://jonas.irht.cnrs.fr/manuscrit/45801,https://arlima.net/no/4597
535,Conquete de Jerusalem,fro (Old French),verse,chanson de geste,1181 to 1200,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/300|http://jonas.irht.cnrs.fr/oeuvre/12848,45762,"Paris, Bibliothèque nationale de France, français 1621",D,,Paris,Bibliothèque nationale de France,français,1621,1246-1255,http://jonas.irht.cnrs.fr/manuscrit/45635,https://arlima.net/no/6706
535,Conquete de Jerusalem,fro (Old French),verse,chanson de geste,1181 to 1200,"Graindor de Douai
(1100 to 1200)",https://arlima.net/no/300|http://jonas.irht.cnrs.fr/oeuvre/12848,46041,"Paris, Bibliothèque nationale de France, français 786",B,,Paris,Bibliothèque nationale de France,français,786,1268-1290,http://jonas.irht.cnrs.fr/manuscrit/45553,https://arlima.net/no/3919
